Company,Item,Category,Calories,Calories Category,Calories from Fat,Calories from Fat Category,Total Fat (g),Total Fat (g) Category,Saturated Fat (g),Saturated Fat (g) Category,Trans Fat (g),Trans Fat (g) Category,Cholesterol (mg),Cholesterol (mg) Category,Sodium (mg),Sodium (mg) Category,Carbs (g),Carbs (g) Category,Fiber (g),Fiber (g) Category,Sugars (g),Sugars (g) Category,Protein (g),Protein (g) Category,Weight Watchers Pnts,Weight Watchers Pnts Category
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,Chicken Sandwich / Wrap,400,Low,190,Low,22,Low,10,Low,1,Low,75,Low,1060,Mid,30,Low,1,Low,6,Low,21,Low,395,Low
McDonald’s,Angus Deluxe Snack Wrap,Chicken Sandwich / Wrap,410,Mid,220,Low,25,Low,10,Low,1.5,Low,75,Low,990,Mid,27,Low,2,Low,3,Low,20,Low,403,Low
McDonald’s,Angus Mushroom & Swiss Snack Wrap,Chicken Sandwich / Wrap,430,Mid,230,Low,26,Low,10,Low,1.5,Low,75,Low,730,Low,27,Low,2,Low,2,Low,22,Low,420,Low
McDonald’s,Mac Snack Wrap,Chicken Sandwich / Wrap,330,Low,170,Low,19,Low,7,Low,1,Low,45,Low,690,Low,26,Low,1,Low,3,Low,15,Low,325,Low
McDonald’s,Small French Fries,Side,230,Low,100,Low,11,Low,1.5,Low,0,Low,0,Low,160,Low,29,Low,3,Low,0,Low,3,Low,228.5,Low
McDonald’s,Medium French Fries,Side,380,Low,170,Low,19,Low,2.5,Low,0,Low,0,Low,270,Low,48,Low,5,Low,0,Low,4,Low,378.5,Low
McDonald’s,Large French Fries,Side,500,Mid,220,Low,25,Low,3.5,Low,0,Low,0,Low,350,Low,63,Low,6,Low,0,Low,6,Low,497.5,Mid
McDonald’s,Ketchup Packet,Condiment / Sauce,15,Low,0,Low,0,Low,0,Low,0,Low,0,Low,110,Low,3,Low,0,Low,2,Low,0,Low,17,Low
McDonald’s,Salt Packet,Condiment / Sauce,0,Low,0,Low,0,Low,0,Low,0,Low,0,Low,270,Low,0,Low,0,Low,0,Low,0,Low,0,Low
McDonald’s,Chicken McNuggets® (4 piece),Nuggets / Wings / Tenders,190,Low,110,Low,12,Low,2,Low,0,Low,25,Low,360,Low,12,Low,1,Low,0,Low,9,Low,183,Low
McDonald’s,Chicken McNuggets® (6 piece),Nuggets / Wings / Tenders,280,Low,160,Low,18,Low,3,Low,0,Low,40,Low,540,Low,18,Low,1,Low,0,Low,13,Low,270,Low
